year,country_code,metric_code,mean,sd,lobound_10,upbound_90
2018,KAZ,dpex,8.95046711,0.088963903,8.836593628,9.064340591
2017,KAZ,empower,1.690660954,0.865276992,0.583106399,2.798215389
2018,KAZ,empower,1.71677804,0.852749407,0.625258803,2.808297396
2017,KAZ,execution,7.591850281,0.087046206,7.48043108,7.703269482
2018,KAZ,execution,7.505847931,0.158719957,7.302686214,7.709009647
2017,KAZ,exkill,7.591850281,0.087046206,7.48043108,7.703269482
2018,KAZ,exkill,7.505847931,0.158719957,7.302686214,7.709009647
2017,KAZ,express,2.474720716,0.206872985,2.209923267,2.739518166
2018,KAZ,express,2.4787848,0.208898917,2.211394072,2.746175528
2017,KAZ,physint,6.515764713,0.850696743,5.42687273,7.604656696
2018,KAZ,physint,6.51392746,0.847249925,5.429447651,7.598407269
2017,KAZ,polpart,2.052569389,0.03875887,2.002958059,2.102180719
2018,KAZ,polpart,2.052569389,0.03875887,2.002958059,2.102180719
2017,KAZ,tort,3.822985411,0.516710877,3.161595583,4.484375477
2018,KAZ,tort,3.815884829,0.468574643,3.216109276,4.415660381
2017,KGZ,arrest,8.277931213,0.121650845,8.122218132,8.433644295
2018,KGZ,arrest,8.285017014,0.125638902,8.124198914,8.445835114
2017,KGZ,assem,6.134558201,0.257063836,5.80551672,6.463599682
2018,KGZ,assem,5.247868061,0.331511587,4.823533058,5.672203064
2017,KGZ,disap,8.336758614,0.078970708,8.235675812,8.437841415
2018,KGZ,disap,8.336758614,0.078970708,8.235675812,8.437841415
2017,KGZ,dpex,8.950501442,0.088904865,8.8367033,9.064299583
2018,KGZ,dpex,8.950496674,0.088908553,8.836693764,9.064299583
2017,KGZ,empower,6.071479321,0.832966506,5.005282402,7.137676239
2018,KGZ,empower,4.179319859,0.863879263,3.073554516,5.285085201
2017,KGZ,execution,8.933825493,0.28836903,8.564713478,9.302937508
2018,KGZ,execution,8.933825493,0.28836903,8.564713478,9.302937508
2017,KGZ,exkill,8.933825493,0.28836903,8.564713478,9.302937508
2018,KGZ,exkill,8.933825493,0.28836903,8.564713478,9.302937508
2017,KGZ,express,5.733760834,0.221274763,5.450529099,6.016992569
2018,KGZ,express,4.78010273,0.55675,4.067462921,5.492742538
