country_code,year,metric_code,mean,low,high,sd
AGO,1992,egdi,0.211,0.136,0.291,0.077
AGO,1992,ldi,0.244,0.185,0.302,0.059
AGO,1992,pdi,0.184,0.118,0.248,0.063
AGO,1993,ddi,0.157,0.083,0.244,0.636
AGO,1993,edi,0.161,0.145,0.18,0.017
AGO,1993,egdi,0.193,0.119,0.256,0.071
AGO,1993,ldi,0.267,0.202,0.329,0.064
AGO,1993,pdi,0.188,0.124,0.252,0.061
AGO,1994,ddi,0.157,0.083,0.244,0.636
AGO,1994,edi,0.161,0.145,0.18,0.017
AGO,1994,egdi,0.193,0.119,0.256,0.071
AGO,1994,ldi,0.267,0.202,0.329,0.064
AGO,1994,pdi,0.188,0.124,0.252,0.061
AGO,1995,ddi,0.157,0.083,0.244,0.636
AGO,1995,edi,0.161,0.145,0.18,0.017
AGO,1995,egdi,0.193,0.119,0.256,0.071
AGO,1995,ldi,0.274,0.207,0.335,0.065
AGO,1995,pdi,0.188,0.124,0.252,0.061
AGO,1996,ddi,0.157,0.083,0.244,0.636
AGO,1996,edi,0.161,0.145,0.18,0.017
AGO,1996,egdi,0.193,0.119,0.256,0.071
AGO,1996,ldi,0.274,0.207,0.335,0.065
AGO,1996,pdi,0.188,0.124,0.252,0.061
AGO,1997,ddi,0.157,0.083,0.244,0.636
AGO,1997,edi,0.161,0.145,0.18,0.017
AGO,1997,egdi,0.193,0.119,0.256,0.071
AGO,1997,ldi,0.274,0.207,0.335,0.065
AGO,1997,pdi,0.188,0.124,0.252,0.061
AGO,1998,ddi,0.157,0.083,0.244,0.636
AGO,1998,edi,0.161,0.145,0.18,0.017
AGO,1998,egdi,0.193,0.119,0.256,0.071
AGO,1998,ldi,0.274,0.207,0.335,0.065
AGO,1998,pdi,0.188,0.124,0.252,0.061
AGO,1999,ddi,0.165,0.094,0.257,0.634
AGO,1999,edi,0.161,0.145,0.18,0.017
AGO,1999,egdi,0.193,0.119,0.256,0.071
AGO,1999,ldi,0.274,0.207,0.335,0.065
AGO,1999,pdi,0.188,0.124,0.252,0.061
AGO,2000,ddi,0.165,0.094,0.257,0.634
AGO,2000,edi,0.161,0.145,0.18,0.017
AGO,2000,egdi,0.194,0.106,0.246,0.071
AGO,2000,ldi,0.275,0.212,0.343,0.066
AGO,2000,pdi,0.188,0.124,0.252,0.061
AGO,2001,ddi,0.17,0.104,0.285,0.636
AGO,2001,edi,0.162,0.146,0.18,0.017
AGO,2001,egdi,0.178,0.105,0.238,0.069
AGO,2001,ldi,0.285,0.212,0.342,0.065
AGO,2001,pdi,0.188,0.124,0.252,0.061
AGO,2002,ddi,0.189,0.116,0.296,0.63
AGO,2002,edi,0.165,0.146,0.182,0.017
AGO,2002,egdi,0.178,0.111,0.252,0.073
AGO,2002,ldi,0.31,0.243,0.373,0.065
AGO,2002,pdi,0.156,0.092,0.209,0.057
AGO,2003,ddi,0.269,0.18,0.387,0.624
AGO,2003,edi,0.172,0.153,0.191,0.019
AGO,2003,egdi,0.196,0.114,0.256,0.072
AGO,2003,ldi,0.326,0.26,0.39,0.065
AGO,2003,pdi,0.166,0.102,0.221,0.058
AGO,2004,ddi,0.269,0.18,0.387,0.624
AGO,2004,edi,0.172,0.155,0.192,0.019
AGO,2004,egdi,0.196,0.114,0.256,0.072
AGO,2004,ldi,0.328,0.255,0.386,0.066
AGO,2004,pdi,0.166,0.102,0.221,0.058
AGO,2005,ddi,0.269,0.18,0.387,0.624
AGO,2005,edi,0.173,0.153,0.191,0.019
AGO,2005,egdi,0.196,0.114,0.256,0.072
AGO,2005,ldi,0.329,0.266,0.398,0.067
AGO,2005,pdi,0.166,0.102,0.221,0.058
AGO,2006,ddi,0.269,0.18,0.387,0.624
AGO,2006,edi,0.173,0.153,0.191,0.019
AGO,2006,egdi,0.196,0.114,0.256,0.072
AGO,2006,ldi,0.329,0.266,0.398,0.067
AGO,2006,pdi,0.166,0.102,0.221,0.058
AGO,2007,ddi,0.269,0.18,0.387,0.624
AGO,2007,edi,0.173,0.153,0.191,0.019
AGO,2007,egdi,0.196,0.114,0.256,0.072
AGO,2007,ldi,0.333,0.272,0.402,0.066
AGO,2007,pdi,0.156,0.09,0.207,0.058
AGO,2008,ddi,0.271,0.178,0.38,0.624
AGO,2008,edi,0.188,0.168,0.207,0.019
AGO,2008,egdi,0.196,0.114,0.256,0.072
AGO,2008,ldi,0.385,0.327,0.461,0.067
AGO,2008,pdi,0.156,0.09,0.207,0.058
AGO,2009,ddi,0.265,0.182,0.39,0.626
AGO,2009,edi,0.219,0.195,0.238,0.022
AGO,2009,egdi,0.203,0.118,0.265,0.074
AGO,2009,ldi,0.383,0.31,0.441,0.065
AGO,2009,pdi,0.159,0.088,0.215,0.062
AGO,2010,ddi,0.266,0.174,0.38,0.627
AGO,2010,edi,0.311,0.272,0.343,0.038
AGO,2010,egdi,0.204,0.108,0.258,0.076
AGO,2010,ldi,0.379,0.322,0.451,0.065
AGO,2010,pdi,0.159,0.088,0.215,0.062
AGO,2011,ddi,0.266,0.174,0.38,0.627
AGO,2011,edi,0.31,0.276,0.345,0.035
AGO,2011,egdi,0.204,0.108,0.258,0.076
AGO,2011,ldi,0.379,0.322,0.451,0.065
AGO,2011,pdi,0.159,0.088,0.215,0.062
AGO,2012,ddi,0.266,0.174,0.38,0.627
AGO,2012,edi,0.307,0.273,0.34,0.035
AGO,2012,egdi,0.204,0.108,0.258,0.076
AGO,2012,ldi,0.383,0.319,0.449,0.066
AGO,2012,pdi,0.158,0.094,0.217,0.059
AGO,2013,ddi,0.265,0.172,0.374,0.624
AGO,2013,edi,0.306,0.27,0.335,0.035
AGO,2013,egdi,0.22,0.14,0.29,0.076
AGO,2013,ldi,0.381,0.32,0.453,0.064
AGO,2013,pdi,0.114,0.06,0.165,0.055
AGO,2014,ddi,0.265,0.172,0.374,0.624
AGO,2014,edi,0.306,0.27,0.335,0.035
AGO,2014,egdi,0.22,0.14,0.29,0.076
AGO,2014,ldi,0.381,0.32,0.453,0.064
AGO,2014,pdi,0.114,0.06,0.165,0.055
AGO,2015,ddi,0.265,0.172,0.374,0.624
AGO,2015,edi,0.306,0.27,0.335,0.035
AGO,2015,egdi,0.22,0.14,0.29,0.076
AGO,2015,ldi,0.381,0.32,0.453,0.064
AGO,2015,pdi,0.114,0.06,0.165,0.055
AGO,2016,ddi,0.275,0.193,0.408,0.624
AGO,2016,edi,0.306,0.27,0.335,0.035
AGO,2016,egdi,0.22,0.14,0.29,0.076
AGO,2016,ldi,0.386,0.324,0.453,0.065
AGO,2016,pdi,0.113,0.047,0.151,0.054
AGO,2017,ddi,0.271,0.169,0.371,0.624
AGO,2017,edi,0.315,0.276,0.346,0.037
AGO,2017,egdi,0.267,0.186,0.349,0.081
AGO,2017,ldi,0.414,0.338,0.484,0.072
AGO,2017,pdi,0.117,0.045,0.159,0.058
AGO,2018,ddi,0.365,0.265,0.498,0.624
AGO,2018,edi,0.37,0.331,0.414,0.043
AGO,2018,egdi,0.297,0.203,0.368,0.082
AGO,2018,ldi,0.433,0.356,0.496,0.071
AGO,2018,pdi,0.159,0.087,0.206,0.058
AGO,2019,ddi,0.418,0.323,0.56,0.623
AGO,2019,edi,0.362,0.311,0.394,0.043
AGO,2019,egdi,0.313,0.227,0.382,0.079
AGO,2019,ldi,0.46,0.38,0.536,0.077
AGO,2019,pdi,0.159,0.087,0.206,0.058
AGO,2020,ddi,0.409,0.28,0.537,0.632
AGO,2020,edi,0.346,0.304,0.387,0.043
AGO,2020,egdi,0.291,0.208,0.365,0.081
AGO,2020,ldi,0.482,0.402,0.554,0.076
AGO,2020,pdi,0.164,0.099,0.224,0.06
ALB,1990,ddi,0.267,0.171,0.379,0.627
ALB,1990,edi,0.19,0.171,0.208,0.018
ALB,1990,egdi,0.746,0.678,0.834,0.078
ALB,1990,ldi,0.193,0.135,0.254,0.059
ALB,1990,pdi,0.155,0.112,0.206,0.05
ALB,1991,ddi,0.618,0.481,0.73,0.629
ALB,1991,edi,0.355,0.312,0.395,0.044
ALB,1991,egdi,0.679,0.604,0.77,0.083
ALB,1991,ldi,0.584,0.506,0.663,0.079
ALB,1991,pdi,0.274,0.212,0.327,0.057
ALB,1992,ddi,0.718,0.594,0.823,0.634
ALB,1992,edi,0.418,0.364,0.471,0.054
ALB,1992,egdi,0.668,0.587,0.748,0.082
ALB,1992,ldi,0.714,0.648,0.777,0.065
ALB,1992,pdi,0.439,0.379,0.497,0.059
ALB,1993,ddi,0.726,0.593,0.816,0.631
ALB,1993,edi,0.428,0.364,0.472,0.053
ALB,1993,egdi,0.668,0.587,0.748,0.082
ALB,1993,ldi,0.678,0.593,0.738,0.073
ALB,1993,pdi,0.453,0.385,0.51,0.06
ALB,1994,ddi,0.665,0.537,0.771,0.629
ALB,1994,edi,0.426,0.373,0.475,0.054
ALB,1994,egdi,0.666,0.6,0.764,0.083
ALB,1994,ldi,0.729,0.654,0.783,0.063
ALB,1994,pdi,0.486,0.419,0.544,0.06
ALB,1995,ddi,0.627,0.493,0.743,0.63
ALB,1995,edi,0.442,0.384,0.49,0.055
ALB,1995,egdi,0.666,0.6,0.764,0.083
ALB,1995,ldi,0.735,0.678,0.804,0.063
ALB,1995,pdi,0.453,0.385,0.51,0.06
ALB,1996,ddi,0.607,0.485,0.735,0.631
ALB,1996,edi,0.396,0.345,0.437,0.048
ALB,1996,egdi,0.653,0.567,0.745,0.088
ALB,1996,ldi,0.735,0.678,0.804,0.063
ALB,1996,pdi,0.453,0.385,0.51,0.06
ALB,1997,ddi,0.624,0.492,0.739,0.629
ALB,1997,edi,0.373,0.33,0.41,0.043
ALB,1997,egdi,0.656,0.575,0.748,0.086
