country_code,metric_code,group,year,value,immediate_duty,immediate_duty_penalty,score_wrt_immediate_duty,global_best_penalty,score_wrt_global_best,immediate_duty_wrt_global_best,source_code
AFG,AdultSurvival,All,2013,76.3779,86.03866167,0,84.42783676,0,72.74708333,86.16480787, 
AFG,AdultSurvival,All,2014,76.8022,85.97863362,0,85.19419826,0,73.33638889,86.08143558, 
AFG,AdultSurvival,All,2015,77.2265,85.83012793,0,86.08505559,0,73.92569444,85.87517768, 
AFG,AdultSurvival,All,2016,77.6508,85.7803986,0,86.84113605,0,74.515,85.80610917, 
AFG,AdultSurvival,All,2017,78.0751,85.78792396,0,87.51726314,0,75.10430556,85.81656105, 
AFG,AdultSurvival,Female,2007,75.6955,86.45576689,0,82.77137977,0,71.79930556,86.74412068, 
AFG,AdultSurvival,Female,2008,76.1646,86.63359022,0,83.28534229,0,72.45083333,86.99109752, 
AFG,AdultSurvival,Female,2009,76.6338,88.32159656,0,81.82912555,0,73.1025,89.33555077, 
AFG,AdultSurvival,Female,2010,77.1029,89.20458854,0,81.44043416,0,73.75402778,90.56192853, 
AFG,AdultSurvival,Female,2011,77.572,88.99113628,0,82.42970206,0,74.40555556,90.26546705, 
AFG,AdultSurvival,Female,2012,78.0412,89.64177092,0,82.32745589,0,75.05722222,91.16912627, 
AFG,AdultSurvival,Female,2013,78.4693,89.78017526,0,82.80503933,0,75.65180556,91.36135453, 
AFG,AdultSurvival,Female,2014,78.8974,89.73329859,0,83.51535854,0,76.24638889,91.29624804, 
AFG,AdultSurvival,Female,2015,79.3254,89.61672144,0,84.31600785,0,76.84083333,91.13433533, 
AFG,AdultSurvival,Female,2016,79.7535,89.57748932,0,85.01926588,0,77.43541667,91.07984627, 
AFG,AdultSurvival,Female,2017,80.1816,89.58343247,0,85.66431778,0,78.03,91.08810065, 
AFG,AdultSurvival,Male,2007,71.3762,78.59763728,0,86.77335203,0,67.68028571,77.99662469, 
AFG,AdultSurvival,Male,2008,71.8742,78.7533468,0,87.43611632,0,68.39171429,78.21906686, 
AFG,AdultSurvival,Male,2009,72.3721,80.37821213,0,85.79927985,0,69.103,80.54030304, 
AFG,AdultSurvival,Male,2010,72.8701,81.35021195,0,85.21346014,0,69.81442857,81.92887421, 
AFG,AdultSurvival,Male,2011,73.368,81.10656097,0,86.44891088,0,70.52571429,81.58080139, 
AFG,AdultSurvival,Male,2012,73.866,81.86783204,0,86.17222772,0,71.23714286,82.66833148, 
AFG,AdultSurvival,Male,2013,74.2865,82.03714392,0,86.64537329,0,71.83785714,82.9102056, 
AFG,AdultSurvival,Male,2014,74.707,81.97949703,0,87.45677799,0,72.43857143,82.82785291, 
AFG,AdultSurvival,Male,2015,75.1276,81.83747498,0,88.3987415,0,73.03942857,82.62496426, 
AFG,AdultSurvival,Male,2016,75.5481,81.79010452,0,89.19883504,0,73.64014286,82.55729218, 
AFG,AdultSurvival,Male,2017,75.9686,81.7972669,0,89.91532436,0,74.24085714,82.56752414, 
AFG,BasicSanitation,All,2007,30.41177392,68.61233893,0,44.32405949,0,30.41177392,68.61233893, 
AFG,BasicSanitation,All,2008,31.65466361,69.42364433,0,45.5963727,0,31.65466361,69.42364433, 
AFG,BasicSanitation,All,2009,32.90967817,76.78551354,0,42.85922781,0,32.90967817,76.78551354, 
AFG,BasicSanitation,All,2010,34.17702772,80.40732726,0,42.50486726,0,34.17702772,80.40732726, 
AFG,BasicSanitation,All,2011,35.45709999,79.54543449,0,44.57465122,0,35.45709999,79.54543449, 
AFG,BasicSanitation,All,2012,36.7499624,82.14629557,0,44.737212,0,36.7499624,82.14629557, 
AFG,BasicSanitation,All,2013,38.05583198,82.68958484,0,46.02252152,0,38.05583198,82.68958484, 
