year,country_code,population,gdp_per_capita_2011ppp,gdp_per_capita_current_ppp,gdp_per_capita_current_usd
2009,BEL,10796493.00000000000,40015.5701527226000,37757.2820887917000,44583.54480708140000
2010,BEL,10895586.00000000000,40787.3732159277000,39836.8977087435000,44141.87814157340000
2011,BEL,11038264.00000000000,40942.3727104540000,40942.3727104540000,47348.52502020160000
2012,BEL,11106932.00000000000,40990.0358237848000,42290.7620520019000,44673.11587559010000
2013,BEL,11159407.00000000000,40984.6405257382000,43671.1195925900000,46744.66254415160000
2014,BEL,11209057.00000000000,41447.1873814025000,44929.6855934160000,47700.54036011780000
2015,BEL,11274196.00000000000,42045.3836218243000,46213.2665340101000,40991.80813814320000
2016,BEL,11331422.00000000000,42465.1875100572000,47855.4902282394000,42012.09990011280000
2017,BEL,11375158.00000000000,43132.8055365392000,50220.8666703868000,44219.56199601170000
2018,BEL,11433256.00000000000,43582.1283959571000,51407.9983373414000,47518.63603889140000
2006,BEN,8216897.00000000000,1752.9575264025600,1609.1046737839700,625.83001581266400
2007,BEN,8454793.00000000000,1805.6221411138000,1701.9711364258800,706.05337488217100
2008,BEN,8696921.00000000000,1841.1873879794700,1769.2524346066200,820.15087830112200
2009,BEN,8944708.00000000000,1831.8814176902600,1773.7297707933000,793.45225261799800
2010,BEN,9199259.00000000000,1818.7784607590600,1781.5633173390400,758.43508288998900
2011,BEN,9460830.00000000000,1820.8893040888000,1820.8893040888000,827.02261079559400
2012,BEN,9729248.00000000000,1855.9363314833300,1891.5303879820700,837.89499683839700
2013,BEN,10004588.00000000000,1934.6226149588700,2006.3278813607300,915.57581637943200
2014,BEN,10286842.00000000000,2001.0520003907100,2114.4803152692100,944.93165301832100
2015,BEN,10575952.00000000000,1987.1419196310800,2122.2355917540900,784.27840718279000
2016,BEN,10872067.00000000000,2009.6610193175100,2169.7558068286000,789.08491515916400
2017,BEN,11175204.00000000000,2069.2852804861200,2276.5957297723100,829.47880278331500
2018,BEN,11485048.00000000000,2151.5431695121800,2424.7558448055500,901.54387120635700
2006,BFA,13829176.00000000000,1305.9249712828300,1198.7569255114000,420.58255370512700
2007,BFA,14252021.00000000000,1338.8383747558600,1261.9829023409100,475.11001218452600
2008,BFA,14689725.00000000000,1393.6970881637300,1339.2455229903500,569.76131720658800
2009,BFA,15141098.00000000000,1392.2002855534100,1348.0059732832200,552.74558861273900
2010,BFA,15605217.00000000000,1423.3777059819800,1394.2531003129200,575.44645268773400
2011,BFA,16081911.00000000000,1472.7158413796400,1472.7158413796400,666.84011979873800
2012,BFA,16571246.00000000000,1521.4515403998900,1550.6306836551900,673.82159836154200
2013,BFA,17072775.00000000000,1562.2999492186100,1620.2053687004800,699.77940563245300
2014,BFA,17586017.00000000000,1582.3300976008500,1672.0234371629200,703.82005559517300
2015,BFA,18110624.00000000000,1596.3345805164700,1704.8596427117900,575.31445417631100
2016,BFA,18646378.00000000000,1642.0391957597000,1772.8482792833000,582.79544432732900
2017,BFA,19193284.00000000000,1696.5469155449400,1866.5147332322400,642.42983865014800
2018,BFA,19751535.00000000000,1761.2347568507600,1984.8843059546000,715.12290404614000
2006,BGD,140921167.00000000000,2095.3697828710400,1923.4175729533300,509.64014287321600
2007,BGD,142660376.00000000000,2215.9252214602200,2088.7209353098700,558.05186026670800
2008,BGD,144304167.00000000000,2322.4263623431900,2231.6894644164600,634.98705646749400
2009,BGD,145924797.00000000000,2412.5017015395700,2335.9187165649400,702.26441001929600
2010,BGD,147575430.00000000000,2518.4341776030400,2466.9029487395300,781.15359355704700
2011,BGD,149273778.00000000000,2650.7299333245200,2650.7299333245200,861.75844434905100
